, C0,Dr No,Date Reported,Date Occurred,Time Occurred,Area Code,Area Name,Rpt Dist No,Part 1-2,Crime Code,Crime Description,Modus Operandi,Victim Age,Victim Gender,Victim Descent,Crime Location,Case Status,Street Address,Latitude,Longitude,Weapon Description,Cross Street,Age Group,Delay,Delay Category,Week Period,Month Period,Time Slot
6622,6833,202104675,2020-01-15,2020-01-15,1970-01-01 10:00:00,21,Topanga,2129,2,664,Bunco- Petty Theft,0701 0344,20,Female,Black,Single Family Dwelling,Invest Cont,19700 Ingomar St,34.2124,-118.5633,Data Missing,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,10-12
6623,7135,200404619,2020-01-16,2020-01-15,1970-01-01 09:00:00,4,Hollenbeck,439,2,649,Document Forgery / Stolen Felony,0601 0344 1202,64,Female,Other,Single Family Dwelling,Invest Cont,5400 Dobbs St,34.0736,-118.1662,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,8-10
6624,7253,200904670,2020-01-16,2020-01-16,1970-01-01 00:30:00,9,Van Nuys,923,1,420,Theft From Motor Vehicle - Petty,0344 1606,36,Male,Hispanic/Latin/Mexican,Driveway,Adult Arrest,6400 Kester Av,34.1867,-118.4575,Data Missing,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,0-2
6625,7456,201904690,2020-01-16,2020-01-16,1970-01-01 03:55:00,19,Mission,1969,2,946,Other Miscellaneous Crime,0906 1402 0100,0,Male,Hispanic/Latin/Mexican,Sidewalk,Adult Arrest,Garber,34.2473,-118.4316,Data Missing,ARLETA,Unknown,0,1 day,2020-01-13,2020-01-01,4-6
6626,7577,201704908,2020-01-16,2020-01-16,1970-01-01 15:00:00,17,Devonshire,1782,1,442,Shoplifting - Petty Theft,1501 0325 1822,0,Unknown,Unknown,Department Store,Invest Cont,8800 Corbin Av,34.2304,-118.5623,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,14-16
6627,7728,201004715,2020-01-17,2020-01-17,1970-01-01 18:15:00,10,West Valley,1015,2,624,Battery - Simple Assault,0400 0448 0913 0444,24,Male,White,Other Business,Invest Cont,17700 Sherman Wy,34.2048,-118.5273,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,18-20
6628,8104,201205150,2020-01-17,2020-01-17,1970-01-01 10:00:00,12,77th Street,1218,1,341,Theft-grand Excpt-guns-fowl-livestk-prod,0344,48,Male,White,Single Family Dwelling,Invest Cont,5600 S Hoover St,33.9915,-118.2871,Data Missing,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,10-12
6629,8118,201404983,2020-01-17,2020-01-10,1970-01-01 18:20:00,14,Pacific,1435,2,627,Child Abuse  - Simple Assault,0400 0419,10,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Adult Arrest,3700 Grand View Bl,34.0073,-118.433,Strong-arm,Data Missing,Child,7,8-30 days,2020-01-06,2020-01-01,18-20
6630,8323,201004734,2020-01-18,2020-01-17,1970-01-01 14:00:00,10,West Valley,1047,2,354,Theft Of Identity,0377 1817 0923,24,Male,White,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,5500 Encino Av,34.1715,-118.5141,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,14-16
6631,8542,201804900,2020-01-18,2020-01-17,1970-01-01 06:00:00,18,Southeast,1822,1,440,Theft Plain - Petty,1822 0344 1407 1402,32,Male,Black,Single Family Dwelling,Invest Cont,100 E Colden Av,33.9492,-118.2739,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,6-8
6632,8654,201104754,2020-01-18,2020-01-11,1970-01-01 04:00:00,11,Northeast,1139,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Parking Lot,Invest Cont,5900 Benner St,34.1076,-118.1889,Data Missing,Data Missing,Unknown,7,8-30 days,2020-01-06,2020-01-01,4-6
6633,8926,201904785,2020-01-19,2020-01-19,1970-01-01 01:20:00,19,Mission,1902,1,230,Assault With Deadly Weapon- Aggravated Assault,1822 0302 1309,39,Female,Hispanic/Latin/Mexican,Street,Invest Cont,Dronfield Av,34.321,-118.4542,Hand Gun,COBALT                       ST,Adult,0,1 day,2020-01-13,2020-01-01,0-2
6634,9201,200205027,2020-01-20,2020-01-20,1970-01-01 11:45:00,2,Rampart,265,1,341,Theft-grand Excpt-guns-fowl-livestk-prod,0344 0352 2032 0346,48,Male,White,Restaurant/fast Food,Invest Cont,2100 W 7th St,34.0565,-118.2768,Data Missing,Data Missing,Adult,0,1 day,2020-01-20,2020-01-01,12-14
6635,9290,200504822,2020-01-20,2020-01-20,1970-01-01 15:00:00,5,Harbor,513,2,624,Battery - Simple Assault,0361 0913 0444 0603,26,Female,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Arrest,25400 Frampton Av,33.7938,-118.2999,Strong-arm,Data Missing,Adult,0,1 day,2020-01-20,2020-01-01,14-16
6636,9782,200404789,2020-01-21,2020-01-21,1970-01-01 04:30:00,4,Hollenbeck,489,1,310,Burglary,0344 1607 0329,0,Male,White,Other Business,Invest Cont,1200 S Soto St,34.0281,-118.2194,Data Missing,Data Missing,Unknown,0,1 day,2020-01-20,2020-01-01,4-6
6637,9829,200804924,2020-01-21,2020-01-21,1970-01-01 17:50:00,8,West LA,852,2,745,Vandalism - Misdeameanor,0329 1822,19,Female,White,Street,Invest Cont,Stoner Av,34.0421,-118.4559,Data Missing,IDAHO                        AV,Adult,0,1 day,2020-01-20,2020-01-01,18-20
6638,9842,201004879,2020-01-21,2020-01-17,1970-01-01 12:00:00,10,West Valley,1008,2,740,Vandalism - Felony,0329,45,Male,Other,Parking Lot,Invest Cont,7100 Hayvenhurst Av,34.1993,-118.4924,Data Missing,Data Missing,Adult,4,3-7 days,2020-01-13,2020-01-01,12-14
6639,9876,200504890,2020-01-21,2020-01-21,1970-01-01 22:30:00,5,Harbor,504,1,442,Shoplifting - Petty Theft,0325 0344 0378 1236 1402,0,Male,Other,Other Business,Adult Arrest,19500 Normandie Av,33.8481,-118.3041,Data Missing,Data Missing,Unknown,0,1 day,2020-01-20,2020-01-01,22-24
6640,90,200804037,2020-01-01,2020-01-01,1970-01-01 12:50:00,8,West LA,831,1,761,Brandish Weapon,1822 0416 0334,28,Male,White,Restaurant/fast Food,Adult Arrest,11900 W San Vicente Bl,34.0527,-118.4699,Knife With Blade 6inches Or Less,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,12-14
6641,263,201200504,2020-01-01,2020-01-01,1970-01-01 04:25:00,12,77th Street,1249,2,745,Vandalism - Misdeameanor,0329,0,Unknown,Unknown,Sidewalk,Adult Arrest,67th St,33.979,-118.2827,Data Missing,FIGUEROA,Unknown,0,1 day,2019-12-30,2020-01-01,4-6
6642,281,201404028,2020-01-01,2020-01-01,1970-01-01 00:30:00,14,Pacific,1458,2,624,Battery - Simple Assault,0400 0446 1805 1822 0906 0371,20,Male,Hispanic/Latin/Mexican,Project/tenement/public Housing,Adult Arrest,4900 Slauson Av,33.995,-118.409,Strong-arm,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,0-2
6643,407,200304064,2020-01-02,2020-01-02,1970-01-01 03:00:00,3,Southwest,376,2,946,Other Miscellaneous Crime,0392 0393,20,Unknown,Unknown,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,3900 S Western Av,34.0146,-118.3089,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,2-4
6644,864,200804103,2020-01-03,2020-01-03,1970-01-01 20:30:00,8,West LA,817,1,442,Shoplifting - Petty Theft,1420 0325,0,Unknown,Unknown,"Coffee Shop (starbucks, Coffee Bean, Peet's, Etc.)",Adult Other,10900 Weyburn Av,34.0626,-118.4454,Data Missing,Data Missing,Unknown,0,1 day,2019-12-30,2020-01-01,20-22
6645,985,201404167,2020-01-03,2020-01-03,1970-01-01 15:00:00,14,Pacific,1413,1,341,Theft-grand Excpt-guns-fowl-livestk-prod,2032 0344,25,Female,Other,Other Business,Invest Cont,1300 Abbot Kinney Bl,33.9956,-118.4722,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,14-16
6646,1418,201904131,2020-01-04,2020-01-04,1970-01-01 03:00:00,19,Mission,1921,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Parking Lot,Invest Cont,12800 Encinitas Av,34.3023,-118.4769,Data Missing,Data Missing,Unknown,0,1 day,2019-12-30,2020-01-01,2-4
6647,1741,200204206,2020-01-05,2020-01-04,1970-01-01 22:00:00,2,Rampart,257,2,626,Intimate Partner - Simple Assault,0913 2000 1813 1243 0416 0446 2002,26,Male,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Other,400 Union Dr,34.0592,-118.2674,Strong-arm,Data Missing,Adult,1,2 days,2019-12-30,2020-01-01,22-24
6648,1766,200904170,2020-01-05,2020-01-03,1970-01-01 18:30:00,9,Van Nuys,904,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,Sepulveda Bl,34.2142,-118.4661,Data Missing,RAYMER                       ST,Unknown,2,3-7 days,2019-12-30,2020-01-01,18-20
6649,1775,200704227,2020-01-05,2020-01-04,1970-01-01 23:00:00,7,Wilshire,723,2,745,Vandalism - Misdeameanor,1300 0329,60,Female,White,Street,Invest Cont,8200 W 4th St,34.0706,-118.3674,Data Missing,Data Missing,Adult,1,2 days,2019-12-30,2020-01-01,22-24
6650,1798,200904174,2020-01-05,2020-01-05,1970-01-01 02:30:00,9,Van Nuys,984,1,310,Burglary,1402 0357 1420 1414 0375 0344 1609,35,Male,White,Restaurant/fast Food,Adult Arrest,14500 W Ventura Bl,34.1509,-118.4487,Data Missing,Data Missing,Adult,0,1 day,2019-12-30,2020-01-01,2-4
6651,2877,201304321,2020-01-07,2020-01-07,1970-01-01 07:50:00,13,Newton,1309,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Parking Lot,Invest Cont,2000 Sacramento St,34.0306,-118.2322,Data Missing,Data Missing,Unknown,0,1 day,2020-01-06,2020-01-01,8-10
6652,3156,200804310,2020-01-08,2020-01-08,1970-01-01 20:10:00,8,West LA,833,2,624,Battery - Simple Assault,0416,33,Female,Hispanic/Latin/Mexican,Parking Lot,Invest Cont,10900 Wilshire Bl,34.0588,-118.4439,Strong-arm,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,20-22
6653,3326,201604304,2020-01-08,2020-01-08,1970-01-01 05:00:00,16,Foothill,1661,2,901,Violation Of Restraining Order,1501,0,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,9100 Remick Av,34.2348,-118.4093,Data Missing,Data Missing,Unknown,0,1 day,2020-01-06,2020-01-01,4-6
6654,3380,201704383,2020-01-08,2020-01-08,1970-01-01 15:45:00,17,Devonshire,1728,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Adult Other,11000 Etiwanda Av,34.27,-118.5317,Data Missing,Data Missing,Unknown,0,1 day,2020-01-06,2020-01-01,16-18
6655,3382,201504401,2020-01-08,2020-01-07,1970-01-01 19:00:00,15,N Hollywood,1543,1,420,Theft From Motor Vehicle - Petty,1300 0344,30,Male,White,Garage/carport,Invest Cont,5200 Vantage Av,34.1649,-118.3982,Data Missing,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,18-20
6656,3484,201204602,2020-01-08,2020-01-08,1970-01-01 13:10:00,12,77th Street,1249,1,341,Theft-grand Excpt-guns-fowl-livestk-prod,0342 1202 0344 1309 1822,62,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Invest Cont,6800 S Figueroa St,33.9783,-118.2827,Data Missing,Data Missing,Adult,0,1 day,2020-01-06,2020-01-01,12-14
6657,3965,201804440,2020-01-09,2020-01-09,1970-01-01 14:30:00,18,Southeast,1844,1,210,Robbery,0910 1822 0342 0344 0352 0371 0370 0420 0906,20,Male,Black,Bus Stop,Invest Cont,108th St,33.9383,-118.2652,Strong-arm,AVALON,Adult,0,1 day,2020-01-06,2020-01-01,14-16
6658,4234,200500511,2020-01-10,2020-01-09,1970-01-01 21:00:00,5,Harbor,585,2,627,Child Abuse  - Simple Assault,0360 1258 0400 0416 0913 0602,7,Female,White,Single Family Dwelling,Adult Other,500 W 22nd St,33.7243,-118.2885,Strong-arm,Data Missing,Child,1,2 days,2020-01-06,2020-01-01,20-22
6659,4364,201504484,2020-01-10,2020-01-10,1970-01-01 02:50:00,15,N Hollywood,1527,2,888,Trespassing,2004,66,Male,Black,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,11100 Victory Bl,34.1867,-118.3728,Data Missing,Data Missing,Old,0,1 day,2020-01-06,2020-01-01,2-4
6660,4645,201104444,2020-01-11,2020-01-03,1970-01-01 01:30:00,11,Northeast,1184,1,331,Theft From Motor Vehicle - Grand,0344 1314,40,Female,White,Street,Invest Cont,1300 Portia St,34.0755,-118.2544,Data Missing,Data Missing,Adult,8,8-30 days,2019-12-30,2020-01-01,0-2
6661,4726,200704590,2020-01-11,2020-01-10,1970-01-01 21:30:00,7,Wilshire,706,2,745,Vandalism - Misdeameanor,1300 0329,38,Female,Korean,Street,Invest Cont,800 N Highland Av,34.0853,-118.3386,Data Missing,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,20-22
6662,5294,201404676,2020-01-12,2020-01-11,1970-01-01 23:30:00,14,Pacific,1409,1,761,Brandish Weapon,0334 1266 1420 1822,23,Female,Hispanic/Latin/Mexican,Drug Store,Invest Cont,8900 Venice Bl,34.0294,-118.3881,Bottle,Data Missing,Adult,1,2 days,2020-01-06,2020-01-01,22-24
6663,5489,200304669,2020-01-13,2020-01-12,1970-01-01 22:50:00,3,Southwest,301,1,510,Vehicle - Stolen,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,2500 Thurman Av,34.0343,-118.3672,Data Missing,Data Missing,Unknown,1,2 days,2020-01-06,2020-01-01,22-24
6664,5855,202004574,2020-01-13,2020-01-13,1970-01-01 11:00:00,20,Olympic,2079,2,745,Vandalism - Misdeameanor,0329,54,Male,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,2200 W 15th St,34.0453,-118.2864,Data Missing,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,10-12
6665,5876,201404817,2020-01-13,2020-01-13,1970-01-01 08:01:00,14,Pacific,1438,1,440,Theft Plain - Petty,0344 0394,30,Female,White,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,Palms,34.0234,-118.4139,Data Missing,GLENDON,Adult,0,1 day,2020-01-13,2020-01-01,8-10
6666,5995,201504636,2020-01-13,2020-01-13,1970-01-01 18:30:00,15,N Hollywood,1535,2,624,Battery - Simple Assault,0400 0416 0446,54,Female,Other,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Other,11400 Califa St,34.1776,-118.379,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,18-20
6667,6481,201304715,2020-01-14,2020-01-14,1970-01-01 09:00:00,13,Newton,1353,2,624,Battery - Simple Assault,0416,0,Female,Hispanic/Latin/Mexican,Street,Juv Arrest,4400 Mckinley Av,34.0039,-118.2609,Strong-arm,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,8-10
6668,6707,200904626,2020-01-15,2020-01-14,1970-01-01 18:00:00,9,Van Nuys,926,1,341,Theft-grand Excpt-guns-fowl-livestk-prod,0344 0342 1309,0,Unknown,Unknown,Single Family Dwelling,Invest Cont,6400 Matilija Av,34.1867,-118.4334,Data Missing,Data Missing,Unknown,1,2 days,2020-01-13,2020-01-01,18-20
6669,6937,201204946,2020-01-15,2020-01-15,1970-01-01 00:20:00,12,77th Street,1207,2,626,Intimate Partner - Simple Assault,0416 2000,29,Female,Hispanic/Latin/Mexican,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,900 W Vernon Av,34.0037,-118.289,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,0-2
6670,7396,201804798,2020-01-16,2020-01-16,1970-01-01 09:45:00,18,Southeast,1844,1,230,Assault With Deadly Weapon- Aggravated Assault,0344 1310 1822 0302 0312 2024,45,Male,Hispanic/Latin/Mexican,Street,Invest Cont,111th Pl,33.9339,-118.2652,Other Firearm,AVALON                       BL,Adult,0,1 day,2020-01-13,2020-01-01,10-12
6671,7492,202004686,2020-01-16,2020-01-16,1970-01-01 11:40:00,20,Olympic,2079,2,888,Trespassing,1275 1816,0,Female,Unknown,Abandoned Building Abandoned House,Invest Cont,2200 W 15th St,34.0453,-118.2864,Data Missing,Data Missing,Unknown,0,1 day,2020-01-13,2020-01-01,12-14
6672,7496,201304936,2020-01-16,2020-01-15,1970-01-01 18:00:00,13,Newton,1367,1,330,Burglary From Vehicle,0385 1202,67,Female,Hispanic/Latin/Mexican,Parking Lot,Invest Cont,5200 Alba St,33.9954,-118.2398,Data Missing,Data Missing,Old,1,2 days,2020-01-13,2020-01-01,18-20
6673,7794,200704769,2020-01-17,2020-01-16,1970-01-01 21:00:00,7,Wilshire,765,1,420,Theft From Motor Vehicle - Petty,Data Missing,0,Unknown,Data Missing,Street,Invest Cont,1200 S Tremaine Av,34.0531,-118.339,Data Missing,Data Missing,Unknown,1,2 days,2020-01-13,2020-01-01,20-22
6674,8082,201304981,2020-01-17,2020-01-17,1970-01-01 18:00:00,13,Newton,1313,1,230,Assault With Deadly Weapon- Aggravated Assault,0447 0416 1822 0345 0429 0443,21,Male,Black,Sidewalk,Invest Cont,14th,34.0322,-118.2544,Pipe/metal Pipe,SAN PEDRO,Adult,0,1 day,2020-01-13,2020-01-01,18-20
6675,8124,201304950,2020-01-17,2020-01-17,1970-01-01 06:00:00,13,Newton,1361,1,330,Burglary From Vehicle,1300 1609 0344 0329,20,Male,Hispanic/Latin/Mexican,Street,Invest Cont,52nd St,33.9956,-118.2783,Data Missing,BROADWAY,Adult,0,1 day,2020-01-13,2020-01-01,6-8
6676,8283,200804850,2020-01-18,2020-01-17,1970-01-01 15:00:00,8,West LA,823,2,745,Vandalism - Misdeameanor,0329 0397 1609,0,Unknown,Unknown,Construction Site,Invest Cont,15100 Pch,34.0385,-118.5258,Data Missing,Data Missing,Unknown,1,2 days,2020-01-13,2020-01-01,14-16
6677,8321,200404689,2020-01-18,2020-01-18,1970-01-01 03:00:00,4,Hollenbeck,462,1,230,Assault With Deadly Weapon- Aggravated Assault,0913 2000 1814 0446 0448 0444 0419 0334 2004,36,Female,Hispanic/Latin/Mexican,Public Storage,Adult Arrest,600 S Boyle Av,34.0386,-118.2201,Strong-arm,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,2-4
6678,8648,201504839,2020-01-18,2020-01-17,1970-01-01 10:19:00,15,N Hollywood,1553,1,440,Theft Plain - Petty,0344,34,Female,White,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Other,11900 Riverside Dr,34.1576,-118.3921,Data Missing,Data Missing,Adult,1,2 days,2020-01-13,2020-01-01,10-12
6679,8824,200704872,2020-01-19,2020-01-16,1970-01-01 21:00:00,7,Wilshire,783,1,330,Burglary From Vehicle,0344 1501,69,Female,Black,Street,Invest Cont,2300 S Dunsmuir Av,34.0374,-118.3576,Data Missing,Data Missing,Old,3,3-7 days,2020-01-13,2020-01-01,20-22
6680,9067,202000536,2020-01-19,2020-01-19,1970-01-01 00:10:00,20,Olympic,2063,2,928,Threatening Phone Calls/letters,0432 0421 1906 1814 1402,20,Female,Hispanic/Latin/Mexican,Single Family Dwelling,Adult Arrest,1100 S Hobart Bl,34.0509,-118.3052,Verbal Threat,Data Missing,Adult,0,1 day,2020-01-13,2020-01-01,0-2
6681,9380,200705009,2020-01-20,2020-01-20,1970-01-01 09:00:00,7,Wilshire,783,2,662,Bunco- Grand Theft,0800 0100,32,Male,White,"Multi-unit Dwelling (apartment, Duplex, Etc)",Invest Cont,2200 S Marvin Av,34.0377,-118.3631,Data Missing,Data Missing,Adult,0,1 day,2020-01-20,2020-01-01,8-10
6682,9549,201704762,2020-01-20,2020-01-20,1970-01-01 12:00:00,17,Devonshire,1781,1,420,Theft From Motor Vehicle - Petty,Data Missing,0,Unknown,Data Missing,Parking Lot,Invest Cont,20900 Nordhoff St,34.2355,-118.5885,Data Missing,Data Missing,Unknown,0,1 day,2020-01-20,2020-01-01,12-14
6683,9686,201704888,2020-01-20,2020-01-20,1970-01-01 17:00:00,17,Devonshire,1735,2,956,Letters- Lewd  -  Telephone Calls- Lewd,1906 2004 0558 0913 0443,24,Female,White,Single Family Dwelling,Adult Other,17000 Tribune St,34.2668,-118.5034,Verbal Threat,Data Missing,Adult,0,1 day,2020-01-20,2020-01-01,16-18
6684,9807,200504873,2020-01-21,2020-01-17,1970-01-01 16:00:00,5,Harbor,563,1,310,Burglary,0344 0321 1606,0,Unknown,Unknown,High School,Invest Cont,1000 W 15th St,33.7306,-118.299,Data Missing,Data Missing,Unknown,4,3-7 days,2020-01-13,2020-01-01,16-18
6685,9854,200504898,2020-01-21,2020-01-19,1970-01-01 16:35:00,5,Harbor,558,2,956,Letters- Lewd  -  Telephone Calls- Lewd,0319 0421 0432 0561 0913 1242 2004,57,Female,White,"Multi-unit Dwelling (apartment, Duplex, Etc)",Adult Other,200 W Santa Cruz St,33.7442,-118.2813,Data Missing,Data Missing,Adult,2,3-7 days,2020-01-13,2020-01-01,16-18
